Origem,Recall,F1-score,MAP,NDCG,MRR
BERTOPIC_PALAVRAS_55_COSSENO,0.45663361365633237,0.35313,0.2878812601983181,0.33015592186379233,0.2878812601983181
BERTOPIC_PALAVRAS_55_REMOCAO_BM25,0.5695995983431655,0.45524,0.37912430442240913,0.42662108401310056,0.37912430442240913
BERTOPIC_PALAVRAS_55_REMOCAO_COSSENO,0.4595205221538848,0.37263,0.31336973348395464,0.3493716958798957,0.31336973348395464
LEXRANK_SENTENCAS_55_BM25,0.7281285301870215,0.58856,0.4938914689761934,0.5524697281107298,0.4938914689761934
LEXRANK_SENTENCAS_55_COSSENO,0.41759759005899333,0.30373,0.2386531944270114,0.2828658712749246,0.2386531944270114
LEXRANK_SENTENCAS_55_REMOCAO_BM25,0.7212250533450483,0.60019,0.5139429312581064,0.5659073964721723,0.5139429312581064
LEXRANK_SENTENCAS_55_REMOCAO_COSSENO,0.3540856031128405,0.26984,0.2179741433412828,0.2517199441338065,0.2179741433412828
BERTOPIC_GUIADO_PALAVRAS_55_BM25,0.5107317685452492,0.41266,0.3461821681101209,0.38725010349059724,0.3461821681101209
BERTOPIC_GUIADO_PALAVRAS_55_COSSENO,0.4206100163173089,0.32462,0.2643027488389607,0.30352919664750455,0.2643027488389607
BERTOPIC_GUIADO_PALAVRAS_55_REMOCAO_BM25,0.548763650056483,0.4509,0.38265553742521236,0.42422102885342494,0.38265553742521236
BERTOPIC_GUIADO_PALAVRAS_55_REMOCAO_COSSENO,0.45161290322580644,0.35194,0.2883080205849127,0.32907749994947894,0.2883080205849127
BERTOPIC_PALAVRAS_60_BM25,0.5506464164679302,0.44761,0.37705535333249657,0.4205970023140589,0.37705535333249657
BERTOPIC_PALAVRAS_60_COSSENO,0.45575498933099035,0.35977,0.2971779423455086,0.3369044170033992,0.2971779423455086
BERTOPIC_PALAVRAS_60_REMOCAO_BM25,0.5313166813104054,0.43295,0.36531525877578347,0.4068467422768346,0.36531525877578347
BERTOPIC_PALAVRAS_60_REMOCAO_COSSENO,0.4094389356093887,0.33425,0.2823919501276097,0.31325112411615114,0.2823919501276097
LEXRANK_SENTENCAS_60_BM25,0.7257436927325217,0.59958,0.5107840676122338,0.5643624947513203,0.5107840676122338
LEXRANK_SENTENCAS_60_COSSENO,0.41759759005899333,0.30373,0.2386531944270114,0.2828658712749246,0.2386531944270114
LEXRANK_SENTENCAS_60_REMOCAO_BM25,0.7214760888665747,0.60145,0.5156688004685996,0.5672490783605124,0.5156688004685996
LEXRANK_SENTENCAS_60_REMOCAO_COSSENO,0.3540856031128405,0.26984,0.2179741433412828,0.2517199441338065,0.2179741433412828
BERTOPIC_GUIADO_PALAVRAS_60_BM25,0.5526547006401406,0.45007,0.37960754780134726,0.422839150539564,0.37960754780134726
BERTOPIC_GUIADO_PALAVRAS_60_COSSENO,0.4531191163549642,0.35432,0.29088741056859546,0.33123783220204966,0.29088741056859546
BERTOPIC_GUIADO_PALAVRAS_60_REMOCAO_BM25,0.5551650558554035,0.45252,0.38190243086063347,0.4253522060101352,0.38190243086063347
BERTOPIC_GUIADO_PALAVRAS_60_REMOCAO_COSSENO,0.4475963348813857,0.36701,0.3110204593950044,0.3443746099969095,0.3110204593950044
