indice,num_tema_cadastrado,sugerido_1,similaridade_1,sugerido_2,similaridade_2,sugerido_3,similaridade_3,sugerido_4,similaridade_4,sugerido_5,similaridade_5,sugerido_6,similaridade_6,posicao_tema_real,similaridade_tema_real
0,1150,1150,110.82193496942071,1147,103.66523015784547,9,96.53848695827037,11,78.33746094281356,483,70.95975509195571,995,66.83561102444443,1,110.82193496942071
1,1150,505,68.74457631879582,32,66.00075306745623,1176,61.79608745421041,1129,55.97128227169345,439,52.25879982738975,483,48.803581613233064,7,46.54522506052346
2,1150,1150,112.77439479237235,9,97.14149909837315,483,89.09144831832867,1147,72.69891540104042,995,68.18108923276611,1102,64.89472097645779,1,112.77439479237235
3,1150,9,111.33562601292357,1147,109.211332143265,1150,99.26656814712459,483,80.63705901695982,11,76.14151708772852,1100,74.46220681200899,3,99.26656814712459
4,1150,9,106.65101815970641,1147,89.62613017782401,483,85.00505941990036,1100,79.39532595577415,1150,77.00205045279294,995,69.7940087211125,5,77.00205045279294
5,1150,1150,51.86489897413416,1056,50.720105908712554,9,48.32071566399356,217,45.12466634162003,1100,41.201377578705205,1085,40.929579167235715,1,51.86489897413416
6,1150,1150,93.84593499088788,739,37.27318594761765,740,37.27318594761765,863,36.92411451534395,1079,36.35642436711307,1170,36.349717655072126,1,93.84593499088788
7,14,1033,199.33852375811207,568,196.59958391284826,1005,188.3678905112509,11,182.73698911970698,567,178.7640081279631,571,157.3539155657343,27,64.7542396546349
8,14,1075,152.86326812350922,885,147.25709812515382,1056,140.5337069430352,12,109.36368135013622,1169,109.36368135013622,4,99.27936086105046,10,64.6214048507105
9,14,1130,119.10460177745935,14,105.00856912539066,1224,79.59375368999557,10,78.88522679216861,12,72.80869292898255,1169,72.80869292898255,2,105.00856912539066
10,14,1130,152.244730094781,12,79.70825136311012,1169,79.70825136311012,14,76.04810364404321,4,62.16350546241067,1129,61.45065759835312,4,76.04810364404321
11,14,1130,159.61610734790256,1129,78.09507000655309,769,65.3691030350145,14,61.878529456587565,12,61.797694556619106,1169,61.797694556619106,4,61.878529456587565
12,14,1130,152.244730094781,12,79.70825136311012,1169,79.70825136311012,14,76.04810364404321,4,62.16350546241067,1129,61.45065759835312,4,76.04810364404321
13,14,1130,152.244730094781,12,79.70825136311012,1169,79.70825136311012,14,76.04810364404321,4,62.16350546241067,1129,61.45065759835312,4,76.04810364404321
14,14,1130,152.244730094781,12,79.70825136311012,1169,79.70825136311012,14,76.04810364404321,4,62.16350546241067,1129,61.45065759835312,4,76.04810364404321
15,14,1130,220.8091718777554,1224,106.90478297313652,1071,105.15963663723204,698,93.40153279722828,1033,89.67474598519806,353,77.0454266580559,7,75.00751905460857
16,14,1130,224.66948440870246,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.4704744151194,353,77.0454266580559,9,75.00751905460857
17,14,1130,224.66948440870246,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.4704744151194,353,77.0454266580559,9,75.00751905460857
18,14,1130,224.66948440870246,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.4704744151194,353,77.0454266580559,9,75.00751905460857
19,14,1130,224.66948440870246,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.4704744151194,353,77.0454266580559,9,75.00751905460857
20,14,1130,220.8091718777554,1224,106.90478297313652,1071,105.15963663723204,698,93.40153279722828,1033,89.67474598519806,353,77.0454266580559,7,75.00751905460857
21,14,1130,220.8091718777554,1224,106.90478297313652,1071,105.15963663723204,698,93.40153279722828,1033,89.67474598519806,353,77.0454266580559,7,75.00751905460857
22,14,1130,220.8091718777554,1224,106.90478297313652,1071,105.15963663723204,698,93.40153279722828,1033,89.67474598519806,353,77.0454266580559,7,75.00751905460857
23,14,1130,113.07340666488241,10,107.6259834326147,14,86.28877434371623,12,70.69984789463065,1169,70.69984789463065,1224,69.08190008732979,3,86.28877434371623
24,14,10,97.47270934043515,1130,90.68093361168062,1033,89.05411068057552,12,71.04319295765269,1169,71.04319295765269,408,69.85903780312131,16,45.21123380803163
25,14,1130,119.10460177745935,14,95.12080381018609,1224,79.59375368999557,10,75.48095230252355,1129,68.34147411497749,12,65.98820019456777,2,95.12080381018609
26,14,1130,95.3801329796957,12,91.03360907930309,1169,91.03360907930309,14,84.84316463487069,1075,79.74686800283727,10,70.18058768491787,4,84.84316463487069
27,14,1130,124.24413751514739,12,106.27871195175969,1169,106.27871195175969,1033,93.14916323109986,1129,81.18814820158642,1071,75.26744935016818,23,38.61084476001565
28,14,1130,86.43489748291998,698,65.09982853852314,961,63.0012694674972,10,54.31222296434663,1033,51.67272614924531,1046,49.89302749587519,36,30.505042176669132
29,14,1130,119.10460177745935,14,95.12080381018609,1224,79.59375368999557,10,75.48095230252355,1129,68.34147411497749,12,65.98820019456777,2,95.12080381018609
30,14,1130,115.99300677442716,12,106.27871195175969,1169,106.27871195175969,1033,100.32886488713869,1150,79.0937061203104,1129,78.52391987424822,24,41.29899805864046
31,14,1130,95.3801329796957,12,91.03360907930309,1169,91.03360907930309,14,84.84316463487069,1075,79.74686800283727,10,70.18058768491787,4,84.84316463487069
32,14,10,107.19047532569805,1075,101.01385578548495,1130,91.83683009816747,885,91.37656150167733,480,80.00534542406618,948,79.65258419226453,11,60.84955329149943
33,14,1130,236.22048424359542,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.47047441511941,4,82.28412202034475,10,75.00751905460858
34,14,1130,123.42145897520639,10,84.19724831926868,14,75.66962363382002,1033,75.27607981573803,1129,74.66772559670893,698,69.17313005297031,3,75.66962363382002
35,14,1130,92.52503458864685,12,71.60116164649774,1169,71.60116164649774,10,64.598878882572,1033,63.513325607284486,9,59.36831410890394,28,35.01086919941604
36,14,1130,137.21060301551566,10,88.93588006072144,12,79.84189563542579,1169,79.84189563542579,698,75.89214320651645,1033,73.88769319699134,11,60.70601648729476
37,14,1130,129.55344103721094,12,106.27871195175969,1169,106.27871195175969,1033,93.14916323109985,1071,78.82222193059582,1129,74.01839011370213,24,38.61084476001565
38,14,1130,129.55344103721094,12,106.27871195175969,1169,106.27871195175969,1033,93.14916323109985,1071,78.82222193059582,1129,74.01839011370213,24,38.61084476001565
39,14,1130,129.55344103721094,12,106.27871195175969,1169,106.27871195175969,1033,93.14916323109985,1071,78.82222193059582,1129,74.01839011370213,24,38.61084476001565
40,14,1130,129.55344103721094,12,106.27871195175969,1169,106.27871195175969,1033,93.14916323109985,1071,78.82222193059582,1129,74.01839011370213,24,38.61084476001565
41,14,1130,159.24101566136238,1224,142.1024334192915,698,120.47519087053486,14,114.9027066369161,1129,110.44216256536046,1075,96.78094694020929,4,114.9027066369161
42,14,1075,144.6432458810061,885,134.79834166355926,10,99.72395946980518,14,96.82140862061847,1056,91.03631959476681,12,87.76568809766952,4,96.82140862061847
43,14,1075,91.4807047692911,12,86.7291960301026,1169,86.7291960301026,1130,84.76152593556856,948,77.58130871056838,10,75.25372940558941,7,71.8241330647835
44,14,1130,236.22048424359542,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.4704744151194,4,82.28412202034474,10,75.00751905460858
45,14,1130,236.22048424359542,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.47047441511941,4,82.28412202034475,10,75.00751905460858
46,14,1130,267.795871846483,12,151.58784853757416,1169,151.58784853757416,1033,148.631075961134,480,119.1949172787765,948,113.76773729416574,11,91.84464245838996
47,14,1130,82.7684468909527,10,68.50814445008926,698,59.80709881218131,1075,59.56128286805287,1071,57.92163750447713,408,51.8702630367412,11,43.3452071201415
48,14,1130,106.82339072141656,12,91.13909427389315,1169,91.13909427389315,1033,85.4792193138949,1057,75.56197898919044,1129,75.24798198664143,18,49.93145287841142
49,14,1130,224.66948440870246,1224,114.23832304404539,1071,113.03523450162574,698,97.1475805316456,1033,95.47047441511941,353,77.0454266580559,9,75.00751905460858
50,14,1130,152.244730094781,12,79.70825136311012,1169,79.70825136311012,14,76.04810364404321,4,62.16350546241067,1129,61.45065759835312,4,76.04810364404321
51,14,1130,152.244730094781,12,79.70825136311012,1169,79.70825136311012,14,76.04810364404321,4,62.16350546241067,1129,61.45065759835312,4,76.04810364404321
52,14,1130,249.35524512027342,1033,156.05232881885345,12,148.7619793848149,1169,148.7619793848149,948,117.58770231796872,480,113.5312314976696,10,82.7090353823364
