indice,num_tema_cadastrado,sugerido_1,similaridade_1,sugerido_2,similaridade_2,sugerido_3,similaridade_3,sugerido_4,similaridade_4,sugerido_5,similaridade_5,sugerido_6,similaridade_6,posicao_tema_real,similaridade_tema_real
0,9,1150,0.5007009506225586,9,0.4687338173389435,534,0.3116021752357483,359,0.2807587683200836,425,0.27794817090034485,445,0.2749321460723877,2,0.4687338173389435
1,9,118,0.45411941409111023,359,0.4121232032775879,994,0.3944118022918701,1048,0.38895654678344727,1186,0.38887283205986023,9,0.3868802785873413,6,0.3868802785873413
2,9,1150,0.5007009506225586,9,0.4687338173389435,534,0.3116021752357483,359,0.2807587683200836,425,0.27794817090034485,445,0.2749321460723877,2,0.4687338173389435
3,9,1150,0.5007009506225586,9,0.4687338173389435,534,0.3116021752357483,359,0.2807587683200836,425,0.27794817090034485,445,0.2749321460723877,2,0.4687338173389435
4,9,1150,0.5007009506225586,9,0.4687338173389435,534,0.3116021752357483,359,0.2807587683200836,425,0.27794817090034485,445,0.2749321460723877,2,0.4687338173389435
5,9,76,0.5320291519165039,1140,0.38714486360549927,315,0.37891361117362976,482,0.35557278990745544,425,0.3409419059753418,72,0.3408515751361847,168,0.010557690635323524
6,9,888,0.6320346593856812,1057,0.5025429725646973,163,0.49319612979888916,1013,0.4803711771965027,439,0.4553584158420563,6,0.44542956352233887,97,0.1850561946630478
7,14,9,0.519329845905304,1178,0.4338710606098175,1046,0.41104379296302795,482,0.40889230370521545,424,0.40503424406051636,1076,0.37246644496917725,130,0.11868612468242645
8,14,118,0.45411941409111023,359,0.4121232032775879,994,0.3944118022918701,1048,0.38895654678344727,1186,0.38887283205986023,9,0.3868802785873413,191,0.1001884862780571
9,14,888,0.3599592447280884,14,0.3494705259799957,76,0.33450251817703247,1,0.3162904381752014,1,0.3128148913383484,1,0.3128148913383484,2,0.3494705259799957
10,14,482,0.374117374420166,1130,0.34769928455352783,439,0.3342300057411194,445,0.3319382667541504,531,0.3303591310977936,473,0.32853835821151733,14,0.2649293541908264
11,14,1130,0.45816200971603394,14,0.4416235387325287,531,0.4306628406047821,888,0.42347875237464905,439,0.412812739610672,482,0.38098323345184326,2,0.4416235387325287
12,14,482,0.374117374420166,1130,0.34769928455352783,439,0.3342300057411194,445,0.3319382667541504,531,0.3303591310977936,473,0.32853835821151733,14,0.2649293541908264
13,14,482,0.374117374420166,1130,0.34769928455352783,439,0.3342300057411194,445,0.3319382667541504,531,0.3303591310977936,473,0.32853835821151733,14,0.2649293541908264
14,14,482,0.374117374420166,1130,0.34769928455352783,439,0.3342300057411194,445,0.3319382667541504,531,0.3303591310977936,473,0.32853835821151733,14,0.2649293541908264
15,14,1130,0.45816200971603394,14,0.4416235387325287,531,0.4306628406047821,888,0.42347875237464905,439,0.412812739610672,482,0.38098323345184326,2,0.4416235387325287
16,14,1130,0.45816200971603394,14,0.4416235387325287,531,0.4306628406047821,888,0.42347875237464905,439,0.412812739610672,482,0.38098323345184326,2,0.4416235387325287
17,14,1130,0.45816200971603394,14,0.4416235387325287,531,0.4306628406047821,888,0.42347875237464905,439,0.412812739610672,482,0.38098323345184326,2,0.4416235387325287
18,14,1130,0.45816200971603394,14,0.4416235387325287,531,0.4306628406047821,888,0.42347875237464905,439,0.412812739610672,482,0.38098323345184326,2,0.4416235387325287
